employeeId,name,email,role,team,department
1,Lorenzo Waters,kaleb_leffler@hotmail.com,admin,Toys,Garden
2,Christina Marks,gloria.farrell@yahoo.com,admin,Music,Kids
3,Bobbie Turcotte-Cole,elwin.heidenreich@gmail.com,admin,Clothing,Kids
4,Ted Bartell,osbaldo_kiehn@gmail.com,admin,Electronics,Music
5,Joan Hane-Denesik,larue_padberg17@yahoo.com,admin,Sports,Jewelry
6,Miss Beth Bashirian,luther.bins@hotmail.com,admin,Automotive,Clothing
7,Charlie Ruecker,cornelius.berge@hotmail.com,admin,Clothing,Home
8,Julie Hermiston,roslyn90@gmail.com,admin,Clothing,Clothing
9,Darrin Abbott,marina.kemmer@gmail.com,admin,Sports,Jewelry
10,Pam Rolfson,xavier_murphy65@hotmail.com,admin,Computers,Movies
11,Mr. Van Howell,rachelle_emmerich94@hotmail.com,employee,Computers,Electronics
12,Dr. Emmett Gleichner,joseph.kuvalis14@hotmail.com,employee,Grocery,Clothing
13,Dr. Alfredo Mosciski,kip.bernhard-mayert59@hotmail.com,employee,Baby,Jewelry
14,Lula Harris,alanis_kirlin@yahoo.com,employee,Electronics,Sports
15,Ricardo Dicki DVM,kellen6@yahoo.com,employee,Music,Baby
16,Dr. Aaron Ruecker IV,eryn7@yahoo.com,employee,Jewelry,Automotive
17,Michael Heidenreich,wilfrid.beier65@gmail.com,employee,Shoes,Automotive
18,Lynda Weimann Sr.,rossie1@hotmail.com,employee,Baby,Shoes
19,Brendan Wyman,daphnee_mckenzie87@gmail.com,employee,Games,Electronics
20,Fred Runolfsdottir,corbin52@yahoo.com,employee,Movies,Garden
21,Margie Gulgowski,cheyenne_legros62@hotmail.com,employee,Toys,Grocery
22,Laurie Turner,celestine_kunze@hotmail.com,employee,Electronics,Sports
23,Fred O'Connell,evie_oreilly@hotmail.com,employee,Games,Jewelry
24,Jordan Tillman,daryl23@yahoo.com,employee,Shoes,Garden
25,Olivia Goodwin PhD,fabian5@yahoo.com,employee,Toys,Industrial
