_id,name,email,password,role,team,department,employeeId
6703af36d312dda4ba75d5cd,Lorenzo Waters,kaleb_leffler@hotmail.com,4naGpGw7oy_B6mG,admin,Toys,Garden,1
6703af36d312dda4ba75d5d0,Christina Marks,gloria.farrell@yahoo.com,uCL75VrOgS_O7EA,admin,Music,Kids,2
6703af36d312dda4ba75d5d3,Bobbie Turcotte-Cole,elwin.heidenreich@gmail.com,0PqBLQKeapGzj2G,admin,Clothing,Kids,3
6703af36d312dda4ba75d5d6,Ted Bartell,osbaldo_kiehn@gmail.com,ajIyzZjpCsCMGkx,admin,Electronics,Music,4
6703af36d312dda4ba75d5d9,Joan Hane-Denesik,larue_padberg17@yahoo.com,LavMG9BWj8LDNwo,admin,Sports,Jewelry,5
6703af36d312dda4ba75d5dc,Miss Beth Bashirian,luther.bins@hotmail.com,gkPD9CswAPtMUyH,admin,Automotive,Clothing,6
6703af36d312dda4ba75d5df,Charlie Ruecker,cornelius.berge@hotmail.com,rxckKdg3fAkFHCY,admin,Clothing,Home,7
6703af36d312dda4ba75d5e2,Julie Hermiston,roslyn90@gmail.com,hBYo820gd1_KG64,admin,Clothing,Clothing,8
6703af36d312dda4ba75d5e5,Darrin Abbott,marina.kemmer@gmail.com,nbGPyOrKjQxg1a8,admin,Sports,Jewelry,9
6703af36d312dda4ba75d5e8,Pam Rolfson,xavier_murphy65@hotmail.com,fx4CUey4ZrWUUVb,admin,Computers,Movies,10
6703af36d312dda4ba75d5eb,Mr. Van Howell,rachelle_emmerich94@hotmail.com,oF8tg70xKMqCLjT,employee,Computers,Electronics,11
6703af36d312dda4ba75d5ee,Dr. Emmett Gleichner,joseph.kuvalis14@hotmail.com,J4SFryRbndeJg3n,employee,Grocery,Clothing,12
6703af36d312dda4ba75d5f1,Dr. Alfredo Mosciski,kip.bernhard-mayert59@hotmail.com,mWofE17w74bak1g,employee,Baby,Jewelry,13
6703af36d312dda4ba75d5f4,Lula Harris,alanis_kirlin@yahoo.com,FitXqXmw0monqhd,employee,Electronics,Sports,14
6703af37d312dda4ba75d5f7,Ricardo Dicki DVM,kellen6@yahoo.com,STEXgzuX469Xk75,employee,Music,Baby,15
6703af37d312dda4ba75d5fa,Dr. Aaron Ruecker IV,eryn7@yahoo.com,TQjGGrP3WQnu_UA,employee,Jewelry,Automotive,16
6703af37d312dda4ba75d5fd,Michael Heidenreich,wilfrid.beier65@gmail.com,VxafXo8wvx5s2cV,employee,Shoes,Automotive,17
6703af37d312dda4ba75d600,Lynda Weimann Sr.,rossie1@hotmail.com,bqqdPeWrzwwwD1E,employee,Baby,Shoes,18
6703af37d312dda4ba75d603,Brendan Wyman,daphnee_mckenzie87@gmail.com,UfzcWD5Ln1Hk18h,employee,Games,Electronics,19
