_id,name,email,password,role,team,department,employeeId,__v
6703af36d312dda4ba75d5cd,Lorenzo Waters,Kaleb_Leffler@hotmail.com,4naGpGw7oy_B6mG,admin,Toys,Garden,1,0
6703af36d312dda4ba75d5d0,Christina Marks,Gloria.Farrell@yahoo.com,uCL75VrOgS_O7EA,admin,Music,Kids,2,0
6703af36d312dda4ba75d5d3,Bobbie Turcotte-Cole,Elwin.Heidenreich@gmail.com,0PqBLQKeapGzj2G,admin,Clothing,Kids,3,0
6703af36d312dda4ba75d5d6,Ted Bartell,Osbaldo_Kiehn@gmail.com,ajIyzZjpCsCMGkx,admin,Electronics,Music,4,0
6703af36d312dda4ba75d5d9,Joan Hane-Denesik,Larue_Padberg17@yahoo.com,LavMG9BWj8LDNwo,admin,Sports,Jewelry,5,0
6703af36d312dda4ba75d5dc,Miss Beth Bashirian,Luther.Bins@hotmail.com,gkPD9CswAPtMUyH,admin,Automotive,Clothing,6,0
6703af36d312dda4ba75d5df,Charlie Ruecker,Cornelius.Berge@hotmail.com,rxckKdg3fAkFHCY,admin,Clothing,Home,7,0
6703af36d312dda4ba75d5e2,Julie Hermiston,Roslyn90@gmail.com,hBYo820gd1_KG64,admin,Clothing,Clothing,8,0
6703af36d312dda4ba75d5e5,Darrin Abbott,Marina.Kemmer@gmail.com,nbGPyOrKjQxg1a8,admin,Sports,Jewelry,9,0
6703af36d312dda4ba75d5e8,Pam Rolfson,Xavier_Murphy65@hotmail.com,fx4CUey4ZrWUUVb,admin,Computers,Movies,10,0
6703af36d312dda4ba75d5eb,Mr. Van Howell,Rachelle_Emmerich94@hotmail.com,oF8tg70xKMqCLjT,employee,Computers,Electronics,11,0
6703af36d312dda4ba75d5ee,Dr. Emmett Gleichner,Joseph.Kuvalis14@hotmail.com,J4SFryRbndeJg3n,employee,Grocery,Clothing,12,0
6703af36d312dda4ba75d5f1,Dr. Alfredo Mosciski,Kip.Bernhard-Mayert59@hotmail.com,mWofE17w74bak1g,employee,Baby,Jewelry,13,0
6703af36d312dda4ba75d5f4,Lula Harris,Alanis_Kirlin@yahoo.com,FitXqXmw0monqhd,employee,Electronics,Sports,14,0
6703af37d312dda4ba75d5f7,Ricardo Dicki DVM,Kellen6@yahoo.com,STEXgzuX469Xk75,employee,Music,Baby,15,0
6703af37d312dda4ba75d5fa,Dr. Aaron Ruecker IV,Eryn7@yahoo.com,TQjGGrP3WQnu_UA,employee,Jewelry,Automotive,16,0
6703af37d312dda4ba75d5fd,Michael Heidenreich,Wilfrid.Beier65@gmail.com,VxafXo8wvx5s2cV,employee,Shoes,Automotive,17,0
6703af37d312dda4ba75d600,Lynda Weimann Sr.,Rossie1@hotmail.com,bqqdPeWrzwwwD1E,employee,Baby,Shoes,18,0
6703af37d312dda4ba75d603,Brendan Wyman,Daphnee_McKenzie87@gmail.com,UfzcWD5Ln1Hk18h,employee,Games,Electronics,19,0
6703af37d312dda4ba75d606,Fred Runolfsdottir,Corbin52@yahoo.com,vQR75FAp3PUfsAi,employee,Movies,Garden,20,0
6703af37d312dda4ba75d609,Margie Gulgowski,Cheyenne_Legros62@hotmail.com,OF_GxxvDNkHp2bO,employee,Toys,Grocery,21,0
6703af37d312dda4ba75d60c,Laurie Turner,Celestine_Kunze@hotmail.com,IAZglna7xEQo__7,employee,Electronics,Sports,22,0
6703af37d312dda4ba75d60f,Fred O'Connell,Evie_OReilly@hotmail.com,U6rA4idfw8I5r_D,employee,Games,Jewelry,23,0
6703af37d312dda4ba75d612,Jordan Tillman,Daryl23@yahoo.com,D4cwWl4eZ9RIsEY,employee,Shoes,Garden,24,0
6703af37d312dda4ba75d615,Olivia Goodwin PhD,Fabian5@yahoo.com,6vGYEWoe0yVbxQr,employee,Toys,Industrial,25,0
6703af37d312dda4ba75d618,Muriel Runolfsdottir,Karine_Fahey69@hotmail.com,TGlM4WCsXfApqtZ,employee,Books,Outdoors,26,0
6703af37d312dda4ba75d61b,Jeffrey Schimmel,Chelsie_Hoppe@hotmail.com,vuIMWx1y39RCPlv,employee,Health,Music,27,0
6703af37d312dda4ba75d61e,Christie Denesik,Javonte40@gmail.com,HskLN703PMQL7DI,employee,Outdoors,Computers,28,0
