employeeId,quizId,score,timeSpent,completed,name,email,role,team,department,title,learningMaterial,createdAt,learningMaterialTitle,rating,createdAt_x,createdBy,createdAt_y
215,6703af61d312dda4ba75e349,87.0,12.0,False,Clifford McCullough,garfield73@yahoo.com,employee,Toys,Computers,Aegrotatio culpo necessitatibus trepide architecto versus amiculum aetas bardus.,6703af4ad312dda4ba75dab3,2024-10-07 09:52:33.421000+00:00,,,,,
203,6703af70d312dda4ba75effd,98.0,35.0,True,Mr. Troy Medhurst,tabitha76@yahoo.com,employee,Electronics,Computers,Odit vinitor credo sui perspiciatis distinctio.,6703af4bd312dda4ba75db19,2024-10-07 09:52:48.200000+00:00,,,,,
232,6703af78d312dda4ba75f6e7,48.0,54.0,False,Brittany Torp,mia.koepp@hotmail.com,employee,Automotive,Baby,Derideo aperio conitor minus vitium damnatio tantum abundans.,6703af51d312dda4ba75dcc3,2024-10-07 09:52:56.297000+00:00,,,,,
92,6703af69d312dda4ba75e9fd,25.0,111.0,False,Geraldine West,eloisa_wilderman33@hotmail.com,employee,Beauty,Tools,Patria alo deficio quo temeritas.,6703af4cd312dda4ba75db41,2024-10-07 09:52:41.432000+00:00,,,,,
152,6703af5ed312dda4ba75e0bb,58.0,2.0,True,Kate Mann,jayme.rodriguez@hotmail.com,employee,Jewelry,Toys,Cognatus pariatur tripudio clarus tamen cena aspernatur.,6703af53d312dda4ba75dd49,2024-10-07 09:52:30.686000+00:00,,,,,
220,6703af64d312dda4ba75e637,6.0,4.0,False,Elbert Rodriguez,leonor_schmitt@yahoo.com,employee,Beauty,Electronics,Tenax virtus consequuntur.,6703af5bd312dda4ba75df9d,2024-10-07 09:52:36.921000+00:00,,,,,
26,6703af6dd312dda4ba75ed57,80.0,85.0,True,Muriel Runolfsdottir,karine_fahey69@hotmail.com,employee,Books,Outdoors,Solium admoneo tamen admoneo commodo quis ter beatus sponte summisse.,6703af53d312dda4ba75dd2f,2024-10-07 09:52:45.224000+00:00,,,,,
236,6703af68d312dda4ba75e90d,3.0,40.0,True,Angelo Kuphal,pink38@yahoo.com,employee,Toys,Music,Cattus averto demum valetudo.,6703af54d312dda4ba75dd83,2024-10-07 09:52:40.377000+00:00,,,,,
33,6703af6bd312dda4ba75ec37,18.0,31.0,False,Dave Dooley,anne_okuneva30@gmail.com,employee,Clothing,Outdoors,Fugiat spiculum video velut ipsa quod crepusculum.,6703af44d312dda4ba75d8ff,2024-10-07 09:52:43.961000+00:00,,,,,
77,6703af6bd312dda4ba75ebdd,40.0,34.0,True,Estelle Runolfsson,ruthie17@gmail.com,employee,Beauty,Games,Vir arcus vigilo vinitor video.,6703af58d312dda4ba75de99,2024-10-07 09:52:43.559000+00:00,,,,,
152,6703af69d312dda4ba75e9a9,34.0,45.0,False,Kate Mann,jayme.rodriguez@hotmail.com,employee,Jewelry,Toys,Patior villa cur beatus absum vis.,6703af5dd312dda4ba75e03f,2024-10-07 09:52:41.067000+00:00,,,,,
174,6703af6dd312dda4ba75ed9f,89.0,9.0,True,Josefina Hettinger,helmer_murphy88@yahoo.com,employee,Games,Movies,Solus tametsi suppellex taedium arcesso deputo constans blanditiis.,6703af59d312dda4ba75def1,2024-10-07 09:52:45.530000+00:00,,,,,
192,6703af61d312dda4ba75e35b,29.0,3.0,False,Rebecca Bernhard,osbaldo.bradtke@gmail.com,employee,Clothing,Sports,Vulariter acerbitas demum deorsum cogito.,6703af56d312dda4ba75de09,2024-10-07 09:52:33.493000+00:00,,,,,
237,6703af6dd312dda4ba75ed87,33.0,57.0,False,Kristine Hahn,granville_breitenberg@gmail.com,employee,Games,Industrial,Articulus apostolus vilitas tantillus magni copiose.,6703af5cd312dda4ba75dfd7,2024-10-07 09:52:45.421000+00:00,,,,,
34,6703af5ed312dda4ba75e0eb,65.0,63.0,False,Mack Wolff,jonathon44@yahoo.com,employee,Sports,Jewelry,Textilis tubineus despecto caterva sopor.,6703af52d312dda4ba75dcd7,2024-10-07 09:52:30.888000+00:00,,,,,
137,6703af62d312dda4ba75e427,30.0,30.0,True,Miss Melody Rippin,jarod17@hotmail.com,employee,Books,Kids,Vae articulus nisi summisse tergum.,6703af57d312dda4ba75de7d,2024-10-07 09:52:34.604000+00:00,,,,,
180,6703af6dd312dda4ba75edd5,42.0,118.0,False,Judith Orn,cassidy85@hotmail.com,employee,Kids,Kids,Decerno pectus quas exercitationem cohors decumbo uterque.,6703af5bd312dda4ba75dfb3,2024-10-07 09:52:45.766000+00:00,,,,,
168,6703af72d312dda4ba75f20d,28.0,103.0,True,Dr. Curtis Beer,michale_grimes@yahoo.com,employee,Grocery,Health,Coerceo bene beneficium aperte claustrum barba eaque verus spes apto.,6703af51d312dda4ba75dcc3,2024-10-07 09:52:50.676000+00:00,,,,,
227,6703af6dd312dda4ba75ede7,11.0,38.0,False,Scott Stark,elmore_jacobson@hotmail.com,employee,Tools,Games,Aveho testimonium charisma crinis quidem.,6703af5ad312dda4ba75df65,2024-10-07 09:52:45.843000+00:00,,,,,
104,6703af75d312dda4ba75f4e9,12.0,95.0,False,Dwayne Bartell,juana22@yahoo.com,employee,Sports,Home,Sol adhaero arx cenaculum.,6703af53d312dda4ba75dd3f,2024-10-07 09:52:53.928000+00:00,,,,,
145,6703af74d312dda4ba75f3db,49.0,63.0,True,Roland Wolf,jaylen.lind69@gmail.com,employee,Music,Automotive,Tenax universe totus comedo solvo delibero absconditus agnitio concedo capillus.,6703af58d312dda4ba75de9f,2024-10-07 09:52:52.703000+00:00,,,,,
